"ROWNUM"	"name"	"adress"	"okrug"	"rayon"	"form_of_incorporation"	"submission"	"tip_uchrezhdeniya"	"vid_uchrezhdeniya"	"telephone"	"web_site"	"e_mail"	"lon"	"lat"	"global_id"	"metroname"	"lon2"	"lat2"
19	"центр развития ребенка - Детский сад № 1661"	"117292, Москва, улица Ивана Бабушкина, д. 12"	"Юго-Западный административный округ"	"Академический район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Центр развития ребенка – Детский сад"	"125-65-17"		"ds1661@mail.ru"	"37,561754"	"55,686191"	87028723	"Новые черемушки"	"37.5544"	"55.6702"
75	"детский сад № 2486"	"117449, г.Москва, улица Шверника, дом 1, корпус 2"	"Юго-Западный административный округ"	"Академический район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"(499) 126-28-68"	"http://dsuz2486.mskobr.ru/"		"37,585715"	"55,693333"	86896754	"Профсоюзная"	"37.5627"	"55.678"
225	"Детский сад общеразвивающего вида № 300"	"117449, г.Москва, ул. Шверника, дом 17"	"Юго-Западный административный округ"	"Академический район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей"	"(499) 126-47-70"	"dsouz300.mskobr.ru"		"37,592578"	"55,690876"	86896610	"Академическая"	"37.5733"	"55.6877"
261	"Детский сад № 2171"	"117292, г. Москва, ул. Профсоюзная, дом 22/10, корп. 1"	"Юго-Западный административный округ"	"Академический район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"125-39-71"	"http://dsuz2171.mskobr.ru/"	"gou2171@mail.ru"	"37,564175"	"55,679889"	87029414	"проспект Вернадского"	"37.506"	"55.6771"
627	"Детский сад № 96"	"117292, г. Москва, ул. Ивана Бабушкина, дом 6"	"Юго-Западный административный округ"	"Академический район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"125-29-00"	"http://dsuz96.mskobr.ru/"	"dou63@mosuzedu.ru"	"37,5642"	"55,688574"	86923463	"Юго-Западная"	"37.4833"	"55.6637"
832	"Детский сад комбинированного вида № 1388"	"117292, г.Москва, ул. Ивана Бабушкина, дом 24А"	"Юго-Западный административный округ"	"Академический район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад комбинированного вида"	"(499) 943-26-91"		"aver-1388@yandex.ru"	"37,557881"	"55,682502"	87029766			
842	"Детский сад № 2620"	"117218, г. Москва, ул. Кедрова, дом 22, корп. 1"	"Юго-Западный административный округ"	"Академический район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"(495) 718-99-29,(495) 718-33-39,(495)718-99-39"	"http://dsuz2620.mskobr.ru"	"gou2620@gmail.com"	"37,575891"	"55,680955"	86896771			
890	"Детский сад № 2690"	"117449, г.Москва, ул. Дмитрия Ульянова, дом 25, корпус 2"	"Юго-Западный административный округ"	"Академический район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"(499) 789-01-54"	"http://dsuz2690.mskobr.ru"	"detsad2690@mail.ru"	"37,580699"	"55,686765"	86893827			
1198	"Детский сад № 433"	"117449, г. Москва, ул. Винокурова, дом 3А"	"Юго-Западный административный округ"	"Академический район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"126-32-38"	"http://dsuz433.mskobr.ru/"		"37,583932"	"55,690483"	86923471			
1257	"Детский сад общеразвивающего вида № 368"	"117292, г. Москва, ул. Ивана Бабушкина, д.13, корп. 2"	"Юго-Западный административный округ"	"Академический район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей"	"(499) 125-01-59"	"http://dsouz368.mskobr.ru"	"Ivanova1041@yandex.ru"	"37,563753"	"55,68552"	86923467			
1473	"Детский сад № 1204"	"117036, Москва, улица Кедрова, дом 13, корпус 1"	"Юго-Западный административный округ"	"Академический район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"125-19-25"	"http://dsuz1204mskobr.ru"	"detsad1204@mail.ru"	"37,572706"	"55,683876"	86896656			
1481	"Детский сад № 2171"	"117292, г. Москва, ул. Профсоюзная, дом 22/10, корп. 1"	"Юго-Западный административный округ"	"Академический район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"125-39-71"	"http://dsuz2171.mskobr.ru/"	"gou2171@mail.ru"	"37,565367"	"55,681104"	86896710			
1489	"Детский сад комбинированного вида № 2635"	"117036, г.Москва, Проспект 60-летия Октября, дом 16, корпус 5"	"Юго-Западный административный округ"	"Академический район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад комбинированного вида"	"124-43-18"			"37,571673"	"55,690987"	86896786			
1524	"Детский сад комбинированного вида № 1388"	"117292, г.Москва, ул. Ивана Бабушкина, дом 24А"	"Юго-Западный административный округ"	"Академический район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад комбинированного вида"	"(499) 943-26-91"		"aver-1388@yandex.ru"	"37,558443"	"55,683028"	86931045			
1551	"Детский сад комбинированного вида № 775"	"117447, г.Москва, ул. Большая Черемушкинская, дом 14А"	"Юго-Западный административный округ"	"Академический район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад комбинированного вида"	"126-69-70"		"ds775@inbox.ru"	"37,589036"	"55,68509"	86896634			
1697	"Детский сад № 2486"	"117449, г.Москва, улица Шверника, дом 1, корпус 2"	"Юго-Западный административный округ"	"Академический район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"(499) 126-28-68"	"http://dsuz2486.mskobr.ru/"		"37,579956"	"55,694037"	87028926			
1870	"центр развития ребенка - Детский сад № 1661"	"117292, Москва, улица Ивана Бабушкина, д. 12"	"Юго-Западный административный округ"	"Академический район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Центр развития ребенка – Детский сад"	"125-65-17"		"ds1661@mail.ru"	"37,562962"	"55,68441"	86896685			
376	"центр развития ребенка - Детский сад № 272"	"119454, город Москва, Проспект Вернадского, дом 48"	"Западный административный округ"	"район Проспект Вернадского"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Центр развития ребенка – Детский сад"	"(499) 131-11-32"	"crrds272.mskzapad.ru"	"ds272sao@mail.ru"	"37,496831"	"55,675539"	86890254			
624	"Детский сад № 1853"	"119415, г. Москва, ул. Удальцова, д. 10 к.1"	"Западный административный округ"	"район Проспект Вернадского"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"(499) 131-61-83"	"ds1853.mskzapad.ru"	"dou1853@mail.ru"	"37,51046"	"55,676354"	86887412			
878	"Детский сад комбинированного вида № 216"	"119415 г.Москва, Ленинский проспект, д. 118"	"Западный административный округ"	"район Проспект Вернадского"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад комбинированного вида"	"432-46-22"	"dskv216.mskzapad.ru"	"gou216@yandex.u"	"37,510115"	"55,668482"	86660735			
1030	"Детский сад № 167"	"119415 г.Москва, ул. Лобачевского, д. 30"	"Западный административный округ"	"район Проспект Вернадского"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"432-08-52"	"ds167.mskzapad.ru"	"dou167-70@mail.ru"	"37,505642"	"55,668969"	86660732			
1136	"центр развития ребенка - Детский сад № 463"	"119 454 г.Москва, ул.Лобачевского, д. 56"	"Западный административный округ"	"район Проспект Вернадского"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Центр развития ребенка – Детский сад"	"431-77-12"	"crrds463.mskzapad.ru"	"crr463@mai.ru"	"37,497226"	"55,678674"	87029926			
1304	"центр развития ребенка - Детский сад № 463"	"119 454 г.Москва, ул.Лобачевского, д. 56"	"Западный административный округ"	"район Проспект Вернадского"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Центр развития ребенка – Детский сад"	"431-77-12"	"crrds463.mskzapad.ru"	"crr463@mai.ru"	"37,508833"	"55,673442"	87029927			
1383	"центр развития ребенка - Детский сад № 215"	"119454 г.Москва, ул. Лобачевского, д. 58"	"Западный административный округ"	"район Проспект Вернадского"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Центр развития ребенка – Детский сад"	"432-59-78"	"crrds215.mskzapad.ru"	"goucrr215@yandex.ru"	"37,493237"	"55,673734"	86887760			
1742	"Детский сад № 1807"	"119415, Москва, ул. Удальцова, д. 12 стр.1"	"Западный административный округ"	"район Проспект Вернадского"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"(499) 131-57-73"	"ds1807.mskobr.ru"	"dou1807@mail.ru"	"37,512462"	"55,675203"	86887409			
